str_yes|نعم.
str_battle_won_grudging_martial|{playername} -- لقد أظهرت نفسك رجل/امرأة جدير/ة اليوم، مهما كانت آثامك السابقة.
str_battle_won_grudging_quarrelsome|همف. وجهك ليس وجهًا أحب رؤيته عادة، لكني أعتقد أنني يجب أن أشكرك اليوم على مساعدتك.
str_battle_won_grudging_pitiless|كانت مساعدتك قيمة للغاية اليوم. لا أتخيل أنك جئت لمساعدتي بدافع اللطف، لكني مع ذلك أشكرك.
str_battle_won_grudging_cunning|سيكون من غير الحكمة مني ألا أشكرك على مجيئك لمساعدتي في وقت حاجتي. إذن... لك مني الامتنان.
str_battle_won_grudging_sadistic|حسنًا! كم هذا مؤثر! لقد جاء {playername} لإنقاذي.
str_battle_won_grudging_goodnatured|{playername}! لا أستطيع القول إننا كنا دائمًا على وفاق في الماضي، لكنك قاتلت جيدًا اليوم. شكري لك!
str_battle_won_grudging_upstanding|ربما كنت مخطئًا بشأنك. كان وصولك في الوقت المناسب للغاية. لك مني الامتنان.
str_battle_won_unfriendly_default|إذن أنت هنا. حسنًا، أن تأتي متأخرًا أفضل من ألا تأتي أبدًا، على ما أعتقد.
str_battle_won_unfriendly_martial|كانت بيننا كلمات قاسية في الماضي، لكن دعنا الآن نستمتع بانتصارنا.
str_battle_won_unfriendly_quarrelsome|إذا كنت واقفًا هناك تنتظر الشكر، يمكنك الاستمرار في الانتظار. لم نكن بحاجة لمساعدتك حقًا، لكني أعتقد أنه لم يكن لديك ما هو أفضل لتفعله، صحيح؟
str_battle_won_unfriendly_pitiless|لقد جئت إلى هنا، كابن آوى إلى فريسة الأسد. حسنًا جدًا، انتهز الفرصة للاستيلاء على الغنائم. لن أمنعك.
str_battle_won_unfriendly_cunning|{playername}... حسنًا، أعتقد أن وصولك لم يضر، على الرغم من أنني لن أدّعي أنني سعيد برؤيتك.
str_battle_won_unfriendly_sadistic|تراجع، طير الجيفة! كان هذا انتصاري، مهما حاولت سرقة المجد لنفسك.
str_battle_won_unfriendly_goodnatured|أوه، إنه أنت. حسنًا، أعتقد أنه يجب أن أشكرك على مساعدتك.
str_battle_won_unfriendly_upstanding|شكرًا لك على مجيئك لدعمي. الآن سأرحل، قبل أن أقول شيئًا أندم عليه.
str_troop_train_request_default|أحتاج شخصًا مثلك لتهذيبهم.
str_troop_train_request_martial|هم بحاجة لمن يريهم معنى البسالة.
str_troop_train_request_quarrelsome|أوغاد سمينون كسالى. إنهم يثيرون اشمئزازي.
str_troop_train_request_pitiless|هم يخافون العدو أكثر مما يخافونني، وهذا غير مقبول.
str_troop_train_request_cunning|لكن الرجال، كالسيوف، يُسقون ويُقسون بالنار.
str_troop_train_request_sadistic|هم بحاجة لشخص بفولاذ في ظهره يجلد بعض الشجاعة فيهم، أو يقتلهم محاولًا.
str_troop_train_request_goodnatured|هم رجال طيبون بما فيه الكفاية، لكني أخشى أنهم ليسوا مستعدين تمامًا للمعركة بعد.
str_troop_train_request_upstanding|سيكون قيادتهم إلى المعركة في حالتهم الحالية بمثابة جريمة قتل.
str_unprovoked_attack_default|ماذا؟ لماذا تهاجمنا؟ تكلم أيها الوغد!
str_unprovoked_attack_martial|لا مانع لدي من تجربة السلاح، لكني أسألك لأي سبب تهاجمنا؟
str_unprovoked_attack_quarrelsome|أنت ترتكب خطأً كبيرًا أيها الفتى/الفتاة. ماذا تعتقد أنك تفعل؟
str_unprovoked_attack_pitiless|حقًا؟ إذا كنت تريد الموت حقًا اليوم، فسأكون أكثر من سعيد بتلبية رغبتك، لكني أشعر بالفضول عما تأمل تحقيقه.
str_unprovoked_attack_cunning|حقًا؟ أعتقد أنك تتصرف بحماقة شديدة. ماذا تأمل أن تكسب من هذا؟
str_unprovoked_attack_sadistic|ما هذا؟ هل تستمتع باقتلاع عينيك؟
str_unprovoked_attack_goodnatured|لماذا تفعل هذا؟ ليس بيننا خلاف، سيدي/سيدتي.
str_unprovoked_attack_upstanding|أعتبر هذا هجومًا غير مبرر، وسأحتج لدى ملكك. لماذا تفعل هذا؟
str_unnecessary_attack_default|لن أتردد في قتلك إذا ضايقتني، لكنني سأعطيك فرصة للانسحاب من هذا.
str_unnecessary_attack_martial|أنا متلهف لقبول تحديك، سيدي/سيدتي، على الرغم من أنني سأعطيك دقيقة لإعادة النظر.
str_unnecessary_attack_quarrelsome|باه! أنا لست في مزاج لهذا الهراء اليوم. ابتعد عن طريقي.
str_unnecessary_attack_pitiless|أنا في مزاج رحيم اليوم. سأتظاهر أنني لم أسمعك.
str_unnecessary_attack_cunning|لا أرى ما الذي ستكسبه من جعلي عدوًا لك. ربما يجب أن تنسحب.
str_unnecessary_attack_sadistic|ليس لدي وقت لأضيعه على دودة مثلك. ابتعد عن طريقي.
str_unnecessary_attack_goodnatured|لا أرى ما الذي ستكسبه من افتعال شجار، سيدي/سيدتي. لا يزال بإمكانك الانسحاب.
str_unnecessary_attack_upstanding|إذا كان القتال هو ما ترغب فيه، سيدي/سيدتي، فستحصل عليه، لكنني سأعطيك فرصة للتراجع.
str_lord_challenged_default|كما تريد. استعد للموت!
str_lord_challenged_martial|فليكن كذلك. دافع عن نفسك!
str_lord_challenged_quarrelsome|أيها الجرو الوقح! سأسحقك!
str_lord_challenged_pitiless|إذا كنت ترغب بشدة في الموت، فلا خيار أمامي سوى تلبية رغبتك.
str_lord_challenged_cunning|حسنًا، إذا لم تترك لي خيارًا...
str_lord_challenged_sadistic|أيتها الحثالة من التراب! سأجعلك تتمنى لو لم تولد أبدًا.
str_lord_challenged_goodnatured|حسنًا جدًا. كنت آمل أن نتجنب الاشتباك، لكني أرى أن لا خيار لي.
str_lord_challenged_upstanding|فليكن كذلك. يحزنني أنك لا تستطيع أن ترى المنطق.
str_lord_mission_failed_default|حسنًا، أنا محبط، لكنني متأكد من أنك ستتاح لك فرص كثيرة لاستعادة ثقتي.
str_lord_mission_failed_martial|لا شرف في الفشل بمهمة تعهدت بأدائها، لكنني سأقبل كلمتك.
str_lord_mission_failed_quarrelsome|لقد فشلت؟ باه. كان يجب أن أتوقع ذلك من مثلك.
str_lord_mission_failed_pitiless|لقد فشلت؟ حسنًا. لقد خيبت أملي. هذا تصرف غير حكيم للغاية.
str_lord_mission_failed_cunning|حسنًا، أنا محبط، لكن لا يمكن لأحد أن يضمن أن رياح الحظ ستهب دائمًا في صالحه.
str_lord_mission_failed_sadistic|حقًا؟ من يخيب أملي لا يعيش دائمًا لندم على ذلك.
str_lord_mission_failed_goodnatured|لا بأس. كانت فرصة بعيدة على أي حال. شكرًا لك على بذل الجهد.
str_lord_mission_failed_upstanding|حسنًا جدًا. أنا متأكد من أنك بذلت قصارى جهدك.
str_lord_follow_refusal_default|اتبعك؟ نسيت مكانتك، سيدي/سيدتي.
str_lord_follow_refusal_martial|ربما إذا أثبت نفسك يومًا كمحارب شجاع وشريف، فسأتبعك. لكن ليس اليوم.
str_lord_follow_refusal_quarrelsome|أتبع شخصًا مثلك؟ لا أعتقد ذلك.
str_lord_follow_refusal_pitiless|لورد مثلي لا يتبع أناسًا مثلك، سيدي/سيدتي.
str_lord_follow_refusal_cunning|أرني أولاً أنك من النوع الذي لا يقودني إلى الكارثة، ثم ربما سأتبعك.
str_lord_follow_refusal_sadistic|لا أعتقد ذلك! بالأحرى، يجب أن تتبعني أنت، كما يتبع الكلب المضروب سيده.
str_lord_follow_refusal_goodnatured|أمم، أنا مشغول قليلاً بالمهمات الآن. ربما في وقت لاحق.
str_lord_follow_refusal_upstanding|أرني أولاً أنك جدير بالقيادة، ثم ربما سأتبع.
str_lord_insult_default|الوضيع الأساسي
str_lord_insult_martial|المخادع المخزي
str_lord_insult_quarrelsome|اللقيط القذر
str_lord_insult_pitiless|الدودة الوضيعة
str_lord_insult_cunning|الأحمق المهمل
str_lord_insult_sadistic|الكلب الذليل
str_lord_insult_goodnatured|الشخص غير السار
str_lord_insult_upstanding|الوغد المشين
str_rebellion_dilemma_default|[السيد الإقطاعي]
str_rebellion_dilemma_martial|{s45} مظلوم بوضوح. على الرغم من أنني أقسمت يمينًا لـ {s46}، إلا أنه لا يلزمني بدعمه إذا اغتصب العرش بشكل غير قانوني.
str_rebellion_dilemma_quarrelsome|همم. {s46} لم يمنحني حقي أبدًا، لذا لا أعتقد أنني أدين له بالكثير. ومع ذلك، ربما لن يكون {s45} أفضل، و {s46} على الأقل أظهر نفسه.
str_rebellion_dilemma_pitiless|همم. يقول {s45} أن {reg3?هي:هو} الوريث الشرعي للعرش. هذا جيد -- إنه يعفيني من قسمي لـ {s46}. لكن لا يزال يتعين علي وزن قراري بعناية.
str_rebellion_dilemma_cunning|همم. لقد أقسمت يمين الولاء لـ {s46}، لكن الأقوياء غير ملزمين بيمينهم كعامة الناس. واجبنا هو قدرتنا على الحكم، وفرض النظام ومنع حرب الكل ضد الكل.
str_rebellion_dilemma_sadistic|همم. في هذا العالم الحقير، يجب على الرجل الحكيم أن يفكر في نفسه، لأن لا أحد سيفعل. إذن -- ما الفائدة لي؟
str_rebellion_dilemma_goodnatured|لا أعرف ماذا أقول. لقد أقسمت يمينًا لـ {s46} كحاكم شرعي، لكن إذا لم يكن الحاكم الشرعي، فلا أعرف إذا كنت لا أزال ملزمًا.
str_rebellion_dilemma_upstanding|هذا مزعج. إنه لأمر خطير أن أعلن أن ولائي لـ {s46} باطل ولاغٍ، وأن أحل الروابط التي تمنع أرضنا من الغرق في الفوضى. ومع ذلك، أنا ملتزم أيضًا بدعم شرعية الخلافة، و {s45} لديه أيضًا مطالبة صحيحة بالعرش.
str_rebellion_dilemma_2_default|[السيد الإقطاعي]
str_rebellion_dilemma_2_martial|من ناحية أخرى، قادنا {s46} في الحرب والسلم، وأنا أكره التخلي عن ولائي.
str_rebellion_dilemma_2_quarrelsome|لذا أخبرني، لماذا يجب أن أدير ظهري للوغد الذي أعرفه، لصالح {reg3?امرأة:الوغد} الذي لا أعرفه؟
str_rebellion_dilemma_2_pitiless|إنه لموقف خطير للغاية أن أكون فيه، أن يُسأل من سأجعله {reg3?حاكمة:ملكًا} لهذه الأرض. لكنه أيضًا وقت فرصة، لأجني الثمار التي كانت دائمًا من حقي!
str_rebellion_dilemma_2_cunning|تم تحدي {s46}، وبالتالي لن يكون قادرًا على الحكم بقوة مثل من لم يُشكك في مطالبته أبدًا. ومع ذلك، إذا استولى {s45} على العرش بالقوة، فإن {reg3?هي:هو} لن يكون قويًا مثل من خلف في سلام.
str_rebellion_dilemma_2_sadistic|ربما إذا انضممت إلى {s45} بينما {reg3?هي:هو} لا يزال ضعيفًا، سيثري {reg3?ها:ه}ني، لكن ربما إذا أحضرت رأسك إلى {s46}، سيعطيني مكافأة أكبر.
str_rebellion_dilemma_2_goodnatured|لقد عاملني {s46} دائمًا بشكل لائق، ومع ذلك صحيح أنه ظلم {s45}. أتردد في التخلي عن ولائي لـ {s46}، ومع ذلك لا أعتقد أيضًا أنه من الصواب دعم الظلم.
str_rebellion_dilemma_2_upstanding|أشعر أنه يجب علي فعل ما هو أفضل للمملكة، لتجنب دمارها بحرب أهلية ونهبها من أعدائها.
str_rebellion_prior_argument_very_favorable|لقد سمعت بالفعل بعض الحجج لدعم مرشحك للعرش، وأميل إلى الاتفاق معها.
str_rebellion_prior_argument_favorable|لقد سمعت بالفعل بعض الحجج لدعم مرشحك للعرش، وأميل إلى الاتفاق معها.
str_rebellion_prior_argument_unfavorable|لقد سمعت بالفعل بعض الحجج لدعم مرشحك للعرش، لكنني لا أجدها مقنعة.
str_rebellion_prior_argument_very_unfavorable|لقد سمعت بالفعل بعض الحجج لدعم مرشحك للعرش، لكنني أختلف مع معظمها.
str_rebellion_rival_default|[السيد الإقطاعي]
str_rebellion_rival_martial|{s49} حليفك {s44} شكك مرة في شرفي وشجاعتي. ليس كثيرًا ما أتاح لي الفرصة لمواجهته في المعركة، وأجبره على سحب تصريحه.
str_rebellion_rival_quarrelsome|{s49} أنت تعمل مع {s44}. إنه ابن عرس ماكر، ولا أثق به قيد أنملة.
str_rebellion_rival_pitiless|{s49} يبدو أنك حظيت بدعم {s44} -- وهو رجل ضعيف، وليس مؤهلاً لحكم إقطاعية، وكرهته دائمًا.
str_rebellion_rival_cunning|{s49} {s44}، الذي انضم إليك بالفعل، هو متعجرف ومشاكس، ومصدر إزعاج إلى حد ما.
str_rebellion_rival_sadistic|{s49} ليس لدي رغبة في القتال إلى جانب حليفك {s44}، الذي يظهر هذا المظهر المثير للاشمئزاز من الفضيلة.
str_rebellion_rival_goodnatured|{s49} سأتردد في أن أكون في نفس صف {s44}، الذي له سمعة كبيرة في القسوة.
str_rebellion_rival_upstanding|{s49} حليفك {s44} هو في رأيي رجل خطير، لا يمكن الاعتماد عليه، وغير مبدئي للغاية.
str_rebellion_argument_favorable|أنا أحترم خط حجتك
str_rebellion_argument_neutral|أجد خط حجتك مقنعًا إلى حد ما فقط
str_rebellion_argument_unfavorable|لا أجد خط حجتك مقنعًا
str_rebellion_persuasion_favorable|أنت تعرض قضيتك ببلاغة
str_rebellion_persuasion_neutral|أنت تقدم قضية معقولة
str_rebellion_persuasion_unfavorable|أنت تقدم قضية غير مقنعة
str_rebellion_relation_very_favorable|لدي أكبر احترام لك شخصيًا.
str_rebellion_relation_favorable|أعرفك وأحترمك شخصيًا.
str_rebellion_relation_neutral|لا أعرفك جيدًا كما قد أحب.
str_rebellion_relation_unfavorable|لا أثق بك.
str_and_comma_3|علاوة على ذلك،
str_but_comma_3|ومع ذلك،
str_and_comma_1|، و
str_but_comma_1|، لكن
str_and_comma_2|. علاوة على ذلك،
str_but_comma_2|. ومع ذلك،
str_rebellion_agree_default|[السيد الإقطاعي]
str_rebellion_agree_martial|لقد قررت. سأدعم {s45} كالوريث الشرعي.
str_rebellion_agree_quarrelsome|آه، لقد فكرت طويلاً بما فيه الكفاية. لم أحب {s46} كثيرًا على أي حال. دعنا نذهب ونأخذ عرشه منه.
str_rebellion_agree_pitiless|أنت محظوظ. لقد قررت الانضمام إليك. أدعو الله ألا تعطيني سببًا للندم على هذا القرار.
str_rebellion_agree_cunning|هذا قرار خطير للغاية، لكن بعد دراسة متأنية، قررت أنني سأنضم إليك. دعنا نأمل أن يكون للأفضل.
str_rebellion_agree_sadistic|لقد قررت. سأدعم {reg3?امرأتك:رجلك} {s45}. لكن من الأفضل أن تتأكد من أن {reg3?هي:هو} تكافئني جيدًا!
str_rebellion_agree_goodnatured|حسنًا. أعتقد أن {reg3?امرأتك:رجلك} ستكون حاكمًا جيدًا. سأنضم إليك.
str_rebellion_agree_upstanding|فليكن كذلك. واجبي الأول هو لهذه المملكة، ولإنقاذها من الفوضى سأدعم {s45} وأتخلى عن ولائي لـ {s46}. أتمنى أن تغفر لي السماء إذا أخطأت.
str_rebellion_refuse_default|[السيد الإقطاعي]
str_rebellion_refuse_martial|أنا آسف. {s45} لديه مطالبة جيدة، لكنها ليست كافية لأدير ظهري لـ {s46}. سأبقى مخلصًا لسيدي.
str_rebellion_refuse_quarrelsome|لا. جروك {s45} ليس لديه ما يلزم لحكم هذه المملكة. سأبقى مع {s46}.
str_talk_later_default|[السيد الإقطاعي]
str_talk_later_martial|ليس الآن وقت الحديث عن السياسة! أنا هنا اليوم مع زملائي اللوردات، مستعدون للمعركة. من الأفضل أن تستعد للقتال.
str_talk_later_quarrelsome|هل تتوقع مني أن أناقش خيانة سيدي معك، بينما نحن محاطون بجيشه؟ بماذا تأخذني، أحمق دموي؟
str_talk_later_pitiless|اخرس لسانك! مهما كان لدي ما أقوله في هذا الأمر، لن أقوله هنا والآن، بينما نحن في وسط جيشنا.
str_talk_later_cunning|هذا ليس الوقت ولا المكان المناسبين لمثل هذه المناقشة. ربما يمكننا مناقشتها في وقت ومكان آخر، لكننا في الوقت الحالي لا نزال أعداء.
str_talk_later_sadistic|كان يجب أن يُخاط فمك! هل تتخيل ما يمكن أن يحدث إذا رآني الأتباع الآخرون أتحدث معك عن الخيانة؟
str_talk_later_goodnatured|إذن أنت ترغب في مناقشة تمردك معي؟ حاول ذلك مرة أخرى عندما لا نكون محاطين بجيش سيدي، وسأستمع لما لديك لتقوله.
str_talk_later_upstanding|مهما كانت أفكاري حول شرعية الخلافة، فأنا لست بصدد مناقشتها هنا والآن. إذا التقينا مرة أخرى عندما يمكننا التحدث على انفراد، سأستمع لما لديك لتقوله في هذا الشأن. لكن في الوقت الحالي، اعتبرني عدوك.
str_gossip_about_character_default|يقولون أن {s6} لا يمتلك أي صفات شخصية مثيرة للاهتمام.
str_gossip_about_character_martial|يقولون أن {s6} لا يحب شيئًا أكثر من الحرب.
str_gossip_about_character_quarrelsome|يقولون أن {s6} كاد يتشاجر مع لورد آخر مؤخرًا، لأن الرجل سخر من أنفه.
str_gossip_about_character_selfrighteous|سمعت أن {s6} أعدم مرافقًا لأن الرجل البائس قتل غزالًا في غابته.
str_gossip_about_character_cunning|يقولون أن {s6} خصم ماكر.
str_gossip_about_character_sadistic|يقولون أن {s6} يحب تعذيب أعدائه. لا أود أن أكون في الجانب السيئ من ذلك الرجل.
str_gossip_about_character_goodnatured|يقولون أن {s6} رجل صالح ويعامل الناس الذين يعيشون في أراضيه بشكل لائق. هذا أكثر مما يمكن قوله عن معظم النبلاء.
str_gossip_about_character_upstanding|يقول الناس أنه من الجيد أن تكون في خدمة {s6}. إنه طيب مع أتباعه، ويكافئهم إذا عملوا بشكل جيد.
str_latest_rumor|آخر إشاعة سمعتها عن {s6} كانت:
str_faction_strength_crushed|محطمة
str_faction_strength_spent_and_wavering|منهكة ومترددة
str_faction_strength_weakened|ضعيفة
str_faction_strength_fair|معقولة
str_faction_strength_average|متوسطة
str_faction_strength_strong|قوية
str_faction_strength_quite_strong|قوية جدًا
str_faction_strength_very_strong|قوية للغاية
str_faction_strength_unmatched|لا مثيل لها
str_faction_strength_last|غير صالح
str_theater_se|غوندور
str_theater_sw|روهان
str_theater_c|جنوب روفانيون
str_theater_n|شمال روفانيون
str_faction_side_name|الشعب الحر
str_faction_side_name1|العين المجردة
str_faction_side_name2|اليد البيضاء
str_party_greet_friend_gondor|مرحبًا، يا صديق الشجرة البيضاء!
str_party_greet_enemy_gondor|اسحبوا سيوفكم إن تجرأتم، يا أعداء غوندور!
str_party_greet_friend_dwarf|تحية من شعب دورين، يا صديق الأقزام!
str_party_greet_enemy_dwarf|باروك خازاد! خازاد آي-مينو!
str_party_greet_friend_rohan|مرحبًا وأهلاً، يا صديق روهان!
str_party_greet_enemy_rohan|فرسان روهان هنا ليتحدوكم!
str_party_greet_friend_mordor|النصر للعين!
str_party_greet_enemy_mordor|ستبدو رؤوسكم جميلة على بوابات مورانون!
str_party_greet_friend_isengard|تحية لليد البيضاء!
str_party_greet_enemy_isengard|سيكون السيد الحكيم مسرورًا عندما أريه جثثكم!
str_party_greet_friend_lorien|مرحبًا، يا صديق لورين الجميلة!
str_party_greet_enemy_lorien|أيها الشيء النجس، سننهي معاناتك!
str_party_greet_friend_imladris|مرحبًا، يا صديق إملادريس وإلروند!
str_party_greet_enemy_imladris|اليوم نخوض المعركة، يا أعداء إملادريس وكل ما هو عادل!
str_party_greet_friend_woodelf|مرحبًا، يا صديق جان الغابة السيلفان في ميركوود!
str_party_greet_enemy_woodelf|كل من يدخل ميركوود بسوء نية لن يغادر أبدًا!
str_party_greet_friend_dale|مرحبًا، يا صديق ديل الفخورة!
str_party_greet_enemy_dale|اسحبوا سيوفكم، نحن رجال ديل!
str_party_greet_friend_harad|مرحبًا، يا صديق الهاردريم!
str_party_greet_enemy_harad|ستُطحن أجسادكم الكثيرة في الرمال!
str_party_greet_friend_rhun|تحياتي، يا صديق قبائل الشرق ودوروينيون!
str_party_greet_enemy_rhun|الأقزام والبشر ليسوا ندًا لشراستنا!
str_party_greet_friend_khand|jus jívati jyók, يا صديق الفارياغ! ندوب معاركك تشرفك.
str_party_greet_enemy_khand|ارتدوا أقنعة المحاربين، لأنكم اليوم ستلقون حتفكم!
str_party_greet_friend_umbar|Ni-yôzi zirbîth kiyad, يا صديق القراصنة!
str_party_greet_enemy_umbar|لو كنا في البحر، لرقصتم على لوح خشبي قريبًا بما فيه الكفاية!
str_party_greet_friend_moria|تحية لليد البيضاء!
str_party_greet_enemy_moria|سيذبحكم عفاريت موريا!
str_party_greet_friend_guldur|النصر للعين!
str_party_greet_enemy_guldur|سيسقط الجان وأصدقاؤهم تحت شفراتنا!
str_party_greet_friend_gundabad|اخشوا قوة أنغمار!
str_party_greet_enemy_gundabad|سننقض عليكم ونتغذى على أحشائكم!
str_party_greet_friend_dunland|مرحبًا، يا عدو شعب الخيل!
str_party_greet_enemy_dunland|ستحترق منازلكم وسيُذبح أهلكم!
str_party_greet_friend_beorn|مرحبًا، يا صديق بيورن!
str_party_greet_enemy_beorn|ستتذوقون غضب شعب الدببة!
str_subfaction_gondor_name_begin|غوندور
str_subfaction_gondor_name1|بيلارغير
str_subfaction_gondor_name2|دول امروث
str_subfaction_gondor_name3|لاميدون
str_subfaction_gondor_name4|لوسارناخ
str_subfaction_gondor_name5|بينات غيلين
str_subfaction_gondor_name6|وادي بلاكروت
str_subfaction_gondor_name7|إثيليان
str_default_rumor|الحرب. الجميع يتحدث عن الحرب.
str_rohan_rumor_begin|يفطر قلبي رؤية أطفالي يذهبون إلى الحرب! لكن بدونهم، كان على الرجال المشي.
str_rohan_rumor_2|سمعت أن العفاريت تأكل الخيول. وحوش حقيرة! إنهم يأكلون الأسرى أيضًا. هذا سيء أيضًا، بالطبع.
str_rohan_rumor_3|لا توجد خيول أفضل من خيول روهان. حتى الجان يحصلون على خيولهم منا!
str_rohan_rumor_4|إذا كنت تستطيع شفاء الرجال، فأرجو أن تعامل خيولي بنفس القدر من العناية إذا أصيبت.
str_rohan_rumor_5|أحضر لي ثمانية خيول حمولة، كما يقول... بعد السبعة التي طلبها أمس. يثير الدهشة.
str_rohan_rumor_6|غوندور تفضل الخيول الأكثر صلابة. فرساننا يستمتعون بالسرعة. الجان يحصلون على الأفضل فقط. وأعداؤنا يسرقونها!
str_rohan_rumor_7|رأيت سلالات من فرس الصحراء وحصان الفارياغ. خيول روهان أفضل بوضوح ولكنها تتطلب فارسًا أكثر خبرة للتحكم بها.
str_rohan_rumor_8|الورغز أبطأ من الخيول لكنها يمكنها الالتفاف بشكل أسرع. كما أنها هشة جدًا مقارنة بحصان حرب جيد التربية.
str_rohan_rumor_9|تزحف الجيوش على روهان بالحراب والرماح مصوبة إلى فرساننا الجيدين. الخائن سارومان سيقطع غابة فانغورن بأكملها لتجهيز جيوشه قبل أن تنتهي هذه الحرب.
str_rohan_rumor_10|كونك أفضل فرسان المملكة يبدأ بتربية أفضل الخيول.
str_rohan_rumor_11|معظم الخيول التي تراها في غوندور أتت منا. إنهم يفضلون حصانًا أقوى قليلاً وأبطأ يمكنه حمل دروعهم الثقيلة.
str_rohan_rumor_12|نقول في روهان أن الحصان كالرجل. أن إذا كان الحصان جيدًا فكأن الرجل جيد، وإذا كان الحصان سيئًا، فكأن الرجل سيئ. وإذا كان الحصان جائعًا فكأن الرجل جائع، وإذا كان الحصان حزينًا فكأن الرجل حزين. ونقول إذا كان الحصان سعيدًا فكأن الرجل سعيد. ونقول إذا كان الحصان غاضبًا فكأن الرجل غاضب. ونقول إذا كان الحصان يمشي فكأن الرجل يمشي، ونقول إذا كان الحصان عجوزًا فكأن الرجل عجوز، ونقول إذا كان الحصان شابًا فكأن الرجل شاب. ونفس الشيء نقوله إذا كان الحصان عجوزًا فكأن الرجل عجوز. وإذا كان الحصان صغيرًا، فكأن الرجل صغير.
str_rohan_rumor_13|عفاريت سارومان حقيرة لكنهم لا يرتدون الكثير من الحماية. إنهم ليسوا ندًا لفأس جيد.
str_rohan_rumor_14|قد تبدو فؤوسنا ورماحنا ضخمة، لكن كم فرصة لديك لرمي مقذوف قبل أن تطارد العدو؟ اجعلها تحسب برمي شيء له بعض الثقل.
str_rohan_rumor_15|إصابة عفريت بسهم من على ظهر حصان تبدو صعبة لأنها صعبة، لكن ثمن مهاجمة صف من الرماح الطويلة أعلى.
str_rohan_rumor_16|غوندور تمارس الرماية. نحن نمارس رماية الخيول. الدونلنديون لا يمارسون أياً منهما.
str_rohan_rumor_17|كثير من عفاريت سارومان رماة مميتون. كثيرون ليسوا كذلك. لا ينبغي لقائد فرسان حكيم أن ينتظر ليكتشف من هو.
str_rohan_rumor_18|نحن جميعًا أصدقاء هنا. أو ينبغي أن نكون؛ لأن ضحك موردور سيكون مكافأتنا الوحيدة، إذا تشاجرنا.
str_rohan_rumor_19|طويلاً اعتنينا بدوابنا وحقولنا، وبنينا بيوتنا، وصنعنا أدواتنا، أو ركبنا بعيدًا للمساعدة في حروب ميناس تيريث. وهذا ما سميناه حياة البشر، سنة العالم.
str_gondor_rumor_begin|لا ملك لغوندور والأعداء على أعتابها. الظل ينمو في الشرق. الأمور لا تبدو جيدة.
str_gondor_rumor_2|في غوندور لا يوجد شيء تحت الشمس لا نصنعه أو نبنيه أو نزرعه بكمية ما. لكن لكم من الوقت أطول؟
str_gondor_rumor_3|موردور أرض جافة وقاحلة. ماذا تأكل المخلوقات هناك؟ بالتأكيد لا تأكل بعضها البعض؟ أو ربما...
str_gondor_rumor_4|نحن نكدح في أراضينا، كما فعلنا لأجيال. ماضينا مجيد وشجاع، لكن مستقبلنا يبدو غير مؤكد.
str_gondor_rumor_5|موارد الظلام للحرب تبدو لا حدود لها، لكنها محمولة على ظهور مجموعة كبيرة من العمالة العبودية.
str_gondor_rumor_6|نحن نعرف الجان في الشمال، لكن في هذه الأيام لا يمكن لأحد رؤيتهم بعد الآن.
str_gondor_rumor_7|أود أن أرى الشجرة البيضاء تزهر مرة أخرى في ساحات الملوك، وأن يعود التاج الفضي، وأن تعم السلام ميناس تيريث: ميناس أنور مرة أخرى كما في قديم الزمان، مليئة بالنور، عالية وجميلة، جميلة كملكة بين الملكات.
str_gondor_rumor_8|لماذا تغزونا أمبار باستمرار؟ لكان قراصنتها ربحوا أكثر بكثير من التجارة معنا. أي غنيمة يمكن أن تضاهي الثروات التي كانوا سيجنونها ببيع القطع الأثرية النومينورية القديمة لنبلاء غوندور؟
str_gondor_rumor_9|يجب أن تكون الحرب، بينما ندافع عن حياتنا ضد مدمر يريد أن يلتهم الكل؛ لكني لا أحب السيف اللامع لحِدَّته، ولا السهم لسرعته، ولا المحارب لمجده. أنا أحب فقط ما يدافعون عنه.
str_gondor_rumor_10|كان غيل-غالاد ملكًا من الجان. عنه يغني المنشدون بحزن: الأخير الذي كان عالمه عادلاً وحُرًا بين الجبال والبحر.
str_gondor_rumor_11|دول غولدور؟ لم أسمع به قط.
str_gondor_rumor_12|موريا؟ الأقزام يعملون هناك، أليس كذلك؟
str_gondor_rumor_13|لا تخبر أحدًا أنني قلت هذا، لكنني أعتقد أن الأمير إمراهيل ربما يصبح ملكًا. اللورد دينيثور رجل نبيل، لكن غوندور تلاشت كثيرًا في عهده. وليس فقط منذ أن غادر ابنه الأكبر.
str_gondor_rumor_14|يقول الناس أن التسعة خرجوا من ميناس مورغول مرة أخرى. أتمنى لو كان لدينا المزيد من القباطنة الشجعان مثل بورومير ليقودوا رجالنا إلى المعركة ضد هؤلاء الأعداء القدامى.
str_gondor_rumor_15|الجنوبيون يطردوننا من هاروندور. إنهم يغيرون علينا بشدة منذ فترة. أتمنى لو كان بإمكاني المشي بأمان عبر الحقول الخضراء في ليبينين مرة أخرى. لكن قيل لنا 'لا'، جنودنا لحماية قلب المملكة.
str_gondor_rumor_16|ابن عم صديقي رامٍ في خدمة هيرلوين الجميل. لديهم أفضل الزي الرسمي على الإطلاق، إذا سألتني.
str_gondor_rumor_17|أولئك الذين يسكنون في الوادي العميق لمورثوند معتادون على الظلال. سمعت أنهم يرون جيدًا في الليل.
